CustomerID,Age,Income,EmploymentType,CreditScore,CreditScoreBand
C1001,23,407623,Self-Employed,691,650-699
C1002,40,420005,Contractor,813,750+
C1003,58,30750,Contractor,765,750+
C1004,35,145377,Contractor,820,750+
C1005,49,227434,Self-Employed,702,700-749
C1006,55,208246,Student,724,700-749
C1007,31,414067,Salaried,810,750+
C1008,56,368610,Student,735,700-749
C1009,44,89383,Business Owner,760,750+
C1010,52,411308,Student,606,600-649
C1011,25,48669,Retired,728,700-749
C1012,67,456037,Salaried,749,700-749
C1013,69,145961,Business Owner,763,750+
C1014,21,132412,Retired,729,700-749
C1015,41,86584,Self-Employed,696,650-699
C1016,22,166836,Self-Employed,619,600-649
C1017,27,481236,Contractor,710,700-749
C1018,66,159817,Self-Employed,608,600-649
C1019,43,43364,Salaried,629,600-649
C1020,45,205134,Self-Employed,763,750+
C1021,40,175788,Contractor,766,750+
C1022,43,394298,Business Owner,726,700-749
C1023,69,418556,Contractor,713,700-749
C1024,34,141129,Contractor,698,650-699
C1025,70,192586,Retired,788,750+
C1026,54,437142,Contractor,728,700-749
C1027,37,208235,Salaried,747,700-749
C1028,40,478778,Salaried,681,650-699
C1029,49,257269,Salaried,689,650-699
C1030,43,215372,Retired,655,650-699
C1031,37,155275,Salaried,766,750+
C1032,28,278212,Retired,596,Below 600
C1033,25,382059,Contractor,728,700-749
C1034,53,158805,Student,705,700-749
C1035,33,402978,Retired,740,700-749
C1036,66,207253,Contractor,738,700-749
C1037,62,210366,Contractor,655,650-699
C1038,55,203932,Student,620,600-649
C1039,66,367664,Business Owner,768,750+
C1040,32,241789,Self-Employed,659,650-699
C1041,46,39780,Self-Employed,614,600-649
C1042,33,191075,Business Owner,564,Below 600
C1043,41,436817,Retired,615,600-649
C1044,23,285467,Self-Employed,615,600-649
C1045,40,351090,Business Owner,795,750+
C1046,60,96388,Salaried,764,750+
C1047,40,312121,Retired,662,650-699
C1048,49,244939,Student,621,600-649
C1049,57,146130,Contractor,600,600-649
C1050,38,34241,Retired,720,700-749
C1051,54,452165,Salaried,595,Below 600
C1052,53,185441,Retired,746,700-749
C1053,41,499284,Self-Employed,722,700-749
C1054,45,376076,Contractor,802,750+
C1055,33,249974,Salaried,709,700-749
C1056,34,183416,Self-Employed,700,700-749
C1057,28,65072,Salaried,600,600-649
C1058,69,35856,Contractor,708,700-749
C1059,50,133313,Contractor,776,750+
C1060,26,430015,Business Owner,656,650-699
C1061,64,370768,Self-Employed,813,750+
C1062,40,148014,Business Owner,709,700-749
C1063,36,98334,Retired,749,700-749
C1064,67,386632,Business Owner,753,750+
C1065,37,70209,Business Owner,738,700-749
C1066,55,201933,Salaried,661,650-699
C1067,32,127287,Student,633,600-649
C1068,27,315425,Contractor,619,600-649
C1069,29,224583,Contractor,646,600-649
C1070,56,429328,Salaried,757,750+
C1071,56,491864,Contractor,589,Below 600
C1072,69,384270,Business Owner,723,700-749
C1073,27,332406,Salaried,662,650-699
C1074,47,237295,Salaried,589,Below 600
C1075,67,242256,Student,804,750+
C1076,45,402163,Contractor,617,600-649
C1077,43,493638,Business Owner,596,Below 600
C1078,21,138900,Self-Employed,628,600-649
C1079,43,155047,Contractor,693,650-699
C1080,41,411670,Self-Employed,620,600-649
C1081,34,464606,Contractor,610,600-649
C1082,32,31898,Student,804,750+
C1083,68,195953,Student,630,600-649
C1084,36,246573,Student,647,600-649
C1085,37,189495,Contractor,801,750+
C1086,47,249666,Business Owner,758,750+
C1087,34,339277,Salaried,651,650-699
C1088,35,260431,Business Owner,768,750+
C1089,47,387971,Salaried,629,600-649
C1090,49,337701,Contractor,670,650-699
C1091,48,460733,Student,717,700-749
C1092,27,381359,Business Owner,640,600-649
C1093,42,231429,Contractor,640,600-649
C1094,33,275081,Student,804,750+
C1095,38,334192,Contractor,627,600-649
C1096,68,294057,Business Owner,646,600-649
C1097,57,77386,Retired,799,750+
C1098,58,332443,Self-Employed,699,650-699
C1099,66,341430,Retired,601,600-649
C1100,52,438646,Business Owner,642,600-649
C1101,50,219632,Business Owner,726,700-749
C1102,35,200668,Business Owner,739,700-749
C1103,65,450590,Contractor,661,650-699
C1104,64,493657,Salaried,722,700-749
C1105,49,59303,Salaried,785,750+
C1106,47,353599,Retired,601,600-649
C1107,63,121552,Retired,794,750+
C1108,39,111566,Retired,634,600-649
C1109,27,39024,Student,664,650-699
C1110,34,472699,Contractor,687,650-699
C1111,31,357848,Retired,592,Below 600
C1112,22,277275,Business Owner,706,700-749
C1113,65,222669,Contractor,598,Below 600
C1114,53,256081,Business Owner,681,650-699
C1115,40,39823,Self-Employed,790,750+
C1116,45,311504,Business Owner,621,600-649
C1117,25,380728,Retired,785,750+
C1118,29,277870,Contractor,799,750+
C1119,28,427133,Retired,802,750+
C1120,34,368616,Business Owner,804,750+
C1121,32,479330,Student,575,Below 600
C1122,40,249961,Salaried,655,650-699
C1123,28,38273,Student,814,750+
C1124,28,134620,Contractor,803,750+
C1125,49,114615,Student,669,650-699
C1126,29,386602,Self-Employed,623,600-649
C1127,54,466310,Student,810,750+
C1128,34,47137,Self-Employed,696,650-699
C1129,62,402831,Contractor,637,600-649
C1130,28,110392,Retired,735,700-749
C1131,49,79729,Student,713,700-749
C1132,39,174903,Student,648,600-649
C1133,60,329373,Business Owner,706,700-749
C1134,35,282869,Student,749,700-749
C1135,57,211593,Student,738,700-749
C1136,45,88402,Student,809,750+
C1137,46,57898,Business Owner,779,750+
