LoanID,CustomerID,BranchID,ProductID,DisbursementDate,LoanAmount,InterestRate,TermMonths,LoanStatus,OutstandingBalance
LN10001,C1401,B008,P04,10/29/2025,4238.1,20.73,60,Active,3179
LN10002,C1066,B001,P06,3/8/2025,23617.19,19.08,36,Paid Off,0
LN10003,C1119,B001,P03,9/10/2025,38391.27,14.77,60,Active,24954
LN10004,C1095,B006,P05,2/17/2025,64366.98,21.47,180,Closed,0
LN10005,C1153,B008,P01,8/16/2024,43701.4,10.04,180,Closed,0
LN10006,C1310,B009,P03,4/26/2026,8261.44,12.37,120,Closed,0
LN10007,C1108,B010,P01,6/30/2025,5269.65,9.93,48,Active,2161
LN10008,C1243,B002,P01,2/19/2026,92737.19,7.85,84,Active,43586
LN10009,C1004,B002,P04,10/30/2025,87276.31,13.22,180,Closed,0
LN10010,C1371,B006,P06,5/1/2026,45656.19,20.85,72,Closed,0
LN10011,C1310,B001,P04,11/26/2024,82594.08,19.8,180,Active,49556
LN10012,C1403,B002,P05,6/30/2025,32252.0,20.69,240,Active,24834
LN10013,C1249,B006,P01,1/10/2024,54219.72,13.51,60,Active,40123
LN10014,C1344,B005,P05,11/16/2025,56781.87,9.1,180,Paid Off,0
LN10015,C1128,B007,P06,12/1/2024,81843.06,12.99,36,Closed,0
LN10016,C1344,B009,P05,1/8/2025,37544.73,8.47,360,Active,14267
LN10017,C1346,B001,P01,1/5/2024,18211.98,16.24,180,Active,8195
LN10018,C1432,B009,P04,1/4/2026,28148.99,19.77,360,Closed,0
LN10019,C1094,B006,P01,2/20/2024,2878.45,4.25,180,Active,1957
LN10020,C1169,B001,P03,6/1/2024,32691.48,11.57,120,Closed,0
LN10021,C1060,B007,P05,11/22/2025,48152.54,18.01,360,Closed,0
LN10022,C1091,B009,P01,6/29/2024,37971.77,20.25,72,Active,29998
LN10023,C1408,B004,P01,5/3/2025,98665.99,12.48,60,Active,80906
LN10024,C1286,B008,P05,6/27/2024,92047.61,18.35,36,Active,71797
LN10025,C1393,B002,P02,1/27/2025,28214.48,12.45,180,Active,22572
LN10026,C1128,B006,P04,12/21/2024,44973.59,10.37,360,Paid Off,0
LN10027,C1031,B007,P02,8/20/2024,48155.04,8.57,84,Active,44303
LN10028,C1440,B004,P02,4/1/2026,37465.29,7.34,60,Active,26226
LN10029,C1040,B006,P01,1/22/2025,58843.12,12.11,360,Closed,0
LN10030,C1172,B008,P01,8/9/2025,24535.36,5.34,180,Active,10059
LN10031,C1215,B006,P05,2/5/2024,58904.26,7.62,72,Closed,0
LN10032,C1230,B005,P06,9/18/2025,55877.7,10.94,12,Active,29615
LN10033,C1418,B009,P05,10/9/2025,22717.81,19.14,72,Closed,0
LN10034,C1147,B009,P06,3/29/2026,29790.01,18.71,120,Active,12512
LN10035,C1499,B002,P04,12/2/2025,72817.89,21.99,120,Active,46603
LN10036,C1152,B008,P01,7/9/2025,36278.08,21.16,84,Active,13786
LN10037,C1249,B006,P04,2/18/2024,91088.94,16.64,12,Active,74693
LN10038,C1084,B001,P03,4/4/2026,85479.28,4.82,180,Active,76077
